Development_Name,HUD_Number,Tenant_Data_System,Consolidated_TDS_Number,Electronic_Data_Processing,Operating_EDP_Number,HUD_Number_2,Funding_Source,Conventional_Method,Building_Type,Number_of_Section_8_Transition_Apartments,Number_of_Current_Apartments,Total_Number_of_Apartments,Number_of_Rental_Rooms,Average_Number_of_Rental_Rooms,Population_Section_8_Transition,Total_Population,Number_of_Residential_Buildings,Number_of_Non_Residential_Buildings,Number_of_Stairhalls,Number_of_Stories,Total_Area_Square_Ft,Acres,Net_Area_Square_Ft,Excluding_Park_Acres,Building_Coverage_Square_Ft,Cubic_Space,Percentage_of_Building_Coverage,Density,Development_Cost,Per_Rental_Room,Average_Monthly_Gross_Rent,Address_Line1,Address_Line2,Address_Line3,Address_Line4,Borough,Community_District,US_Congressional_District,NY_State_Senate_District,NY_State_Assembly_District,NY_City_Council_District,Completion_Date,Federalized_Development,Senior_Development,Is_Electricity_Paid_by_Residents,Is_Private_Management
ISAACS,NY005011390,139,139,253,253,NY005057,FEDERAL,CONVENTIONAL,New Construction,,632,636,2631,4.16,,1278,3,1,4,24,152173,3.49,152173,3.49,32645,4857894,21.45,366.19,13251410,5009,503.35,E 93RD ST,FIRST AVE,FDR DRIVE,,MANHATTAN,8,12,29,68,5,1965-07-31,,,,
JACKSON,NY005012670,120,267,243,243,NY005043,FEDERAL,CONVENTIONAL,New Construction,,868,868,4137,4.77,,2362,7,1,7,16,343403,7.88,343403,7.88,59552,7682714,17.34,299.75,14850303,3590,471.58,PARK AVE,COURTLANDT AVE,E 158TH ST,E 156TH ST,BRONX,1,15,32,79,17,1963-07-31,,,,
JEFFERSON,NY005010640,64,64,219,219,NY005016,FEDERAL,CONVENTIONAL,New Construction,,1488,1493,6954,4.67,,3468,18,1,35,7-13,757179,17.38,757179,17.38,149778,13032612,19.78,199.54,26894981,3854,502.17,E 112TH ST,THIRD AVE,E 115TH ST,FIRST AVE,MANHATTAN,11,13,30,68,8,1959-08-28,,,,
JOHNSON,NY005000170,17,17,516,516,NY005213H,FEDERAL,CONVENTIONAL,New Construction,,1297,1310,6125.5,4.72,,3168,10,,17,14,517632,11.88,456630,10.48,97804,10582024,18.89,266.67,14348000,2337,530.9,E 112TH ST,E 115TH ST,THIRD AVE,PARK AVE,MANHATTAN,11,13,30,68,8,1948-12-27,1977/07/01-ATP 1,,,
KING TOWERS,NY005010300,30,30,518,518,NY005213J,FEDERAL,CONVENTIONAL,New Construction,,1378,1379,6345,4.6,,3085,10,,10,13-14,599120,13.75,555560,12.75,98822,11745000,16.49,224.36,19859000,3135,502.72,W 112TH ST,LENOX AVE,W 115TH ST,FIFTH AVE,MANHATTAN,10,13,30,68,9,1954-11-01,1977/07/01-ATP 1,,,
KINGSBOROUGH,NY005010100,10,10,205,205,NY005006,FEDERAL,CONVENTIONAL,New Construction,,1164,1165,4749,4.08,,2510,16,,35,6,695544,15.97,665526,15.28,129189,8037853,18.57,157.17,5175100,1107,448.93,RALPH AVE,PACIFIC ST,BERGEN ST,ROCHESTER AVE,BROOKLYN,"8, 16",8,25,"55, 56",41,1941-10-31,,,,
KINGSBOROUGH EXTENSION,NY005010100,161,10,268,205,NY005071,FEDERAL,CONVENTIONAL,New Construction (ELD),,184,184,644,3.5,,195,1,,1,25,63254,1.45,63254,1.45,7110,1224082,11.24,134.48,2986383,4637,324.13,BERGEN ST,PACIFIC ST,ROCHESTER AVE,RALPH AVE,BROOKLYN,8,8,25,56,41,1966-05-31,,EXCLUSIVELY,,
LA GUARDIA,NY005010760,76,76,221,221,NY005021,FEDERAL,CONVENTIONAL,New Construction,,1092,1094,5102,4.67,,2512,9,,9,16,469672,10.78,415455,9.54,63621,8909852,13.55,233.02,17157591,3356,528.5,RUTGERS ST,MADISON ST,MONTGOMERY ST,CHERRY ST,MANHATTAN,3,7,26,65,1,1957-08-08,,,,
LA GUARDIA ADDITION,NY005010760,152,76,262,221,NY005061,FEDERAL,CONVENTIONAL,New Construction (ELD),,149,150,491.5,3.3,,187,1,,1,16,26052,0.6,26052,0.6,5618,914382,21.56,311.67,2876132,5645,291.84,CHERRY ST,MADISON ST,RUTGERS ST,MONTGOMERY ST,MANHATTAN,3,7,26,65,1,1965-08-31,,EXCLUSIVELY,,
LAFAYETTE,NY005001220,122,122,247,247,NY005047,FEDERAL,CONVENTIONAL,New Construction,,882,882,4385,4.97,,2462,7,,7,13-15-20,334323,7.68,304776,7,58504,8369220,17.5,320.57,14689766,3350,568.67,LAFAYETTE AVE,CLASSON AVE,DEKALB AVE,FRANKLIN AVE,BROOKLYN,3,8,25,57,35,1962-07-31,,,,
LATIMER GARDENS,NY005011860,186,186,290,290,NY005093,FEDERAL,CONVENTIONAL,New Construction,,423,423,1708.5,4.04,,802,4,,4,10,167134,3.84,167134,3.84,40077,3430247,23.98,208.85,9310959,5442,484.61,"34TH, 35TH AVES",LINDEN PL,LEAVITT ST,137TH ST,QUEENS,7,6,11,40,20,1970-09-30,,,,
LAVANBURG HOMES,NY005003100,310,310,578,578,NY005248,FEDERAL,CONVENTIONAL,Rehabilitation,,95,104,391.5,4.12,,,1,,6,6,23032,0.53,23032,0.53,12882,937200,55.93,,5742000,12903,,E HOUSTON ST,BARUCH PL,A NEW ST,MANGIN ST,MANHATTAN,3,7,26,74,2,1984-09-26,,,,
LEAVITT STREET-34TH AVENUE,NY005011860,201,186,386,290,NY005191,FEDERAL,TURNKEY,New Construction (ELD),,83,83,272.5,3.28,,106,1,,1,6,20013,0.46,20013,0.46,8465,571608,42.3,230.43,2606744,9244,308.2,LEAVITT ST,UNION ST,34TH AVE,34TH RD,QUEENS,7,6,11,40,20,1974-10-31,,EXCLUSIVELY,,
LEHMAN VILLAGE,NY005001010,101,101,238,238,NY005033,FEDERAL,CONVENTIONAL,New Construction,,617,622,2893.5,4.69,,1481,4,1,5,20,177426,4.07,177426,4.07,28904,5367611,16.29,363.88,11549370,3959,521.88,MADISON AVE,PARK AVE,E 106TH ST,E 110TH ST,MANHATTAN,11,13,30,68,8,1963-11-30,,,,
LENOX ROAD-ROCKAWAY PARKWAY,NY005011670,348,167,763,763,NY005292,FEDERAL,TURNKEY,Rehabilitation,,74,74,327,4.42,,179,3,,3,4,24000,0.55,24000,0.55,18791,943450,78.3,325.45,4669919,14281,527.69,KINGS HIGHWAY,E 98TH ST,WILIMOHR ST,E 97TH ST,BROOKLYN,17,9,20,"55, 58",41,1985-09-01,,,True,
LEXINGTON,NY005010620,50,62,374,217,NY005183C,FEDERAL,CONVENTIONAL,New Construction,,448,448,1901,4.24,,844,4,,4,14,151467,3.48,151467,3.48,35222,3879000,23.25,242.53,4780152,2515,505.09,E 98TH ST,THIRD AVE,E 99TH ST,PARK AVE,MANHATTAN,11,13,30,68,5,1951-03-16,1972/06/29-FED TRAN,,,
LINCOLN,NY005000200,20,20,513,513,NY005213E,FEDERAL,CONVENTIONAL,New Construction,,1283,1286,6113.5,4.77,,3023,14,,20,7-14,551740,12.67,508561,11.67,106738,10743035,19.35,238.6,14324000,2358,479.24,E 132ND ST,E 135TH ST,FIFTH AVE,PARK AVE,MANHATTAN,11,13,30,70,9,1948-12-29,1977/07/01-ATP 1,,,
LINDEN,NY005020950,95,95,672,672,NY005377,MIXED FINANCE/LLC2,CONVENTIONAL,New Construction,395,1586,1586,7311,4.61,1164,3809,19,2,21,8-14,1299426,29.83,1299426,29.83,173020,14333039,13.06,127.69,20230969,2767,512.11,VERMONT ST,STANLEY AVE,SCHENCK AVE,COZINE AVE,BROOKLYN,5,8,19,60,42,1958-07-17,,,,
LONG ISLAND BAPTIST HOUSES,NY005012610,276,261,502,375,NY005201,FEDERAL,CONVENTIONAL,Rehabilitation,,230,232,1044,4.54,,566,4,,4,6,78700,1.81,78700,1.81,37700,2490500,47.9,312.71,11627063,11010,464.52,SUTTER AVE,SHEFFIELD AVE,DUMONT AVE,HINSDALE ST,BROOKLYN,5,8,19,60,42,1981-06-30,,,True,
LONGFELLOW AVENUE REHAB,NY005015300,362,530,794,748,NY005295,FEDERAL,TURNKEY,Rehabilitation,,75,75,412.5,5.5,,287,2,,2,5,26724,0.61,26724,0.61,16773,1060415,62.76,470.49,7044209,17077,609.08,WESTCHESTER AVE,WHITLOCK AVE,E 165TH ST,BRYANT AVE,BRONX,2,15,32,85,17,1990-10-31,,,True,True
LOW HOUSES,NY005011690,169,169,276,276,NY005082,FEDERAL,CONVENTIONAL,New Construction,,535,536,2546.5,4.76,,1408,4,,4,17-18,256459,5.89,256459,5.89,45163,4802466,17.61,239.05,10312262,4052,453.76,SACKMAN ST,POWELL ST,CHRISTOPHER ST,PITKIN AVE,BROOKLYN,16,8,"19, 20",55,41,1967-12-31,,,,
LOWER EAST SIDE I INFILL,NY005011000,326,100,784,784,NY005259,FEDERAL,TURNKEY,New Construction,,189,189,777.5,4.11,,365,5,,15,4-9,86078,1.98,86078,1.98,37227,1657278,43.25,184.34,14369576,18482,475.48,DELANCEY ST,RIVINGTON ST,FORSYTHE ST,ELDRIDGE ST,MANHATTAN,3,7,26,65,1,1988-06-01,,PARTIALLY,True,
LOWER EAST SIDE II,NY005012920,337,292,783,555,NY005262,FEDERAL,TURNKEY,New Construction,,186,188,838,4.51,,458,4,1,32,3,167568,3.85,167568,3.85,59808,1622292,35.69,118.96,14709271,17346,540.7,E 4TH & 5TH STS,E 6TH ST,AVENUES B & C,AVENUE D,MANHATTAN,3,12,26,74,2,1988-11-01,,,True,
LOWER EAST SIDE III,NY005013590,364,359,548,840,NY005215,FEDERAL,TURNKEY,New Construction,,56,56,280,5,,192,2,1,3,4,42733,0.98,42733,0.98,22801,596573,53.36,195.92,7324340,26158,543,E 9TH ST,AVENUE D,E 8TH ST,AVENUE C,MANHATTAN,3,12,27,74,2,1997-04-30,,,True,True
LOWER EAST SIDE REHAB (GROUP 5),NY005012920,292,292,555,555,NY005233,FEDERAL,TURNKEY,Rehabilitation,,54,55,226,4.19,,122,2,,2,6,17872,0.41,17872,0.41,10275,490400,57.49,297.56,4322735,18795,582.43,AVENUE C,E 6TH ST,E 7TH ST,,MANHATTAN,3,12,27,74,2,1986-12-01,,,True,
MANHATTANVILLE,NY005020810,81,81,429,429,NY005378,MIXED FINANCE/LLC1,CONVENTIONAL,New Construction,184,1272,1272,6004,4.72,528,3042,6,,6,20,538367,12.36,538367,12.36,83754,11967873,15.56,246.12,25774000,4306,527.12,W 133RD ST,BROADWAY,AMSTERDAM AVE,W 129TH ST,MANHATTAN,9,13,"30, 31",70,7,1961-06-30,,,,
MANHATTANVILLE REHAB (GROUP 2),NY005010810,296,81,557,558,NY005235,FEDERAL,CONVENTIONAL,Rehabilitation,,46,46,187,4.07,,90,3,,3,5-6,11843,0.27,11843,0.27,8099,434570,68.39,333.33,6002000,32096,478.96,BROADWAY,W 134TH ST,AMSTERDAM AVE,W 135TH ST,MANHATTAN,9,13,31,70,7,1988-11-01,,,True,
MANHATTANVILLE REHAB (GROUP 3),NY005010810,297,81,558,558,NY005236,FEDERAL,CONVENTIONAL,Rehabilitation,,51,51,220.5,4.32,,112,2,,2,5-6,13988,0.32,13988,0.32,9930,547624,70.99,350,3652758,16603,360.32,BROADWAY,W 133RD ST,AMSTERDAM AVE,W 134TH ST,MANHATTAN,9,13,31,70,7,1983-09-30,,,True,
MARBLE HILL,NY005020490,49,49,638,638,NY005379,MIXED FINANCE/LLC1,CONVENTIONAL,New Construction,212,1682,1682,7119,4.23,502,3370,11,1,11,14-15,724809,16.64,652495,14.98,111631,13300359,15.4,202.52,17882055,2539,480.14,EXTERIOR ST,W 225TH ST,BROADWAY,W 230TH ST,BRONX,8,13,"31, 33","72, 81","10, 11, 14",1952-03-06,,,,
MARCY,NY005000210,21,21,514,514,NY005213F,FEDERAL,CONVENTIONAL,New Construction,,1714,1717,8257,4.82,,4389,27,1,71,6,1241000,28.49,1101547,25.29,240198,13741160,19.36,154.05,19420000,2347,508.66,FLUSHING AVE,MARCY AVE,NOSTRAND AVE,MYRTLE AVE,BROOKLYN,3,7,18,56,36,1949-01-19,1977/07/01-ATP 1,,,
MARCY AVENUE-GREENE AVENUE SITE A,NY005013590,363,359,803,840,NY005300,FEDERAL,TURNKEY,New Construction,,48,48,231,4.81,,127,2,,7,3,51104,1.17,51104,1.17,16354,434689,32,108.55,5042549,21829,462,GREENE AVE,MARCY AVE,NOSTRAND AVE,LEXINGTON AVE,BROOKLYN,3,8,25,56,36,1997-06-30,,,True,True
MARCY AVENUE-GREENE AVENUE SITE B,NY005013590,358,359,804,840,NY005293,FEDERAL,TURNKEY,New Construction,,30,30,145,4.83,,81,1,,5,3,36926,0.85,36926,0.85,10081,267953,27.3,95.29,3168261,21850,413,GREENE AVE,MARCY AVE,NOSTRAND AVE,LEXINGTON AVE,BROOKLYN,3,8,25,56,36,1997-06-30,,,True,True
MARINER'S HARBOR,NY005000770,77,77,228,228,NY005020,FEDERAL,CONVENTIONAL,New Construction,,606,607,2853,4.71,,1588,22,,32,3-6,947622,21.75,816256,18.74,124890,5691790,13.18,73.01,8072855,2826,469.68,GRAND VIEW AVE,ROXBURY ST,LOCKMAN AVE,CONTINENTAL PL,STATEN ISLAND,1,11,23,63,49,1954-09-03,,,,
MARLBORO,NY005020830,83,83,426,426,NY005380,MIXED FINANCE/LLC1,CONVENTIONAL,New Construction,284,1763,1765,8241.5,4.67,786,4259,28,2,30,7-16,1518505,34.86,1471805,33.79,202426,15183887,13.33,122.17,22429000,2783,489.95,STILLWELL AVE,AVENUE V,86TH ST,AVENUE X,BROOKLYN,13,11,23,"45, 47",47,1958-02-27,,,,
MARSHALL PLAZA,NY005010030,344,3,754,754,NY005265,FEDERAL,TURNKEY,New Construction (ELD),,180,180,630,3.5,,205,1,,1,13,20083,0.46,20083,0.46,10354,1181481,51.56,445.65,12233985,19419,301.42,BROADWAY,W 158TH ST,AMSTERDAM AVE,W 157TH ST,MANHATTAN,12,13,31,71,7,1986-06-30,,EXCLUSIVELY,True,
MCKINLEY,NY005000590,103,59,236,236,NY005031,FEDERAL,CONVENTIONAL,New Construction,,616,619,2932,4.76,,1535,5,1,5,16,289985,6.66,233735,5.37,41286,5580675,14.24,230.48,10418410,3535,463.56,E 161ST ST,E 163RD ST,TINTON AVE,KINGSLAND PL,BRONX,3,15,32,79,16,1962-07-31,,,,
MELROSE,NY005010280,28,28,523,523,NY005216B,FEDERAL,CONVENTIONAL,New Construction,,1020,1023,4850,4.75,,2510,8,1,9,14,541687,12.44,498060,11.43,68826,8736312,12.71,201.77,12236000,2515,446.98,MORRIS AVE,E 153RD ST,COURTLANDT AVE,E 156TH ST,BRONX,1,15,32,"79, 84",17,1952-06-20,1978/02/01-ATP 2,,,
MELTZER TOWER,NY005011000,183,100,286,237,NY005085,FEDERAL,CONVENTIONAL,New Construction (ELD),,228,231,684,3,,240,1,,1,20,50180,1.15,50180,1.15,6910,1316253,13.77,208.7,5622697,7487,293.25,E 1ST ST,FIRST AVE,E 2ND ST,AVENUE A,MANHATTAN,3,12,26,65,2,1971-08-31,,EXCLUSIVELY,,
METRO NORTH PLAZA,NY005010090,181,112,284,284,NY005092,FEDERAL,CONVENTIONAL,New Construction,,271,275,1301.5,4.8,,632,3,,3,7-8,99827,2.29,99827,2.29,34752,2668090,34.81,275.98,6733865,5105,492.63,E 101ST ST,FIRST AVE,E 102ND ST,SECOND AVE,MANHATTAN,11,13,29,68,8,1971-08-31,,,,
MIDDLETOWN PLAZA,NY005010340,191,34,302,313,NY005096B,FEDERAL,CONVENTIONAL,New Construction (ELD),,177,179,602.5,3.4,,198,1,,1,15,49309,1.13,49309,1.13,10076,1078917,20.43,175.22,6090291,9776,320.16,ROBERTS AVE,JARVIS AVE,MIDDLETOWN RD,HOBART AVE,BRONX,10,14,34,82,13,1973-08-31,,EXCLUSIVELY,,
MILL BROOK,NY005010840,84,84,570,570,NY005244C,FEDERAL,CONVENTIONAL,New Construction,,1251,1255,5798.5,4.64,,2911,9,,9,16,539327,12.38,495067,11.37,76410,10446587,14.17,235.14,22176000,3898,434.83,E 135TH ST,BROOK AVE,E 137TH ST,CYPRESS AVE,BRONX,1,15,29,84,8,1959-05-26,1979/08/01-ATP 4,,,
MILL BROOK EXTENSION,NY005010840,132,84,570,570,NY005244C,FEDERAL,CONVENTIONAL,New Construction,,125,125,611.5,4.89,,318,1,,1,16,22500,0.52,22500,0.52,8660,1130657,38.49,611.54,1957000,3198,458.47,CYPRESS AVE,E 135TH ST,E 137TH ST,,BRONX,1,15,29,84,8,1962-01-31,1979/08/01-ATP 4,,,
MITCHEL,NY005011450,145,145,249,249,NY005050,FEDERAL,CONVENTIONAL,New Construction,,1731,1732,7546.5,4.36,,4109,10,1,12,17-19-20,699494,16.06,653938,15.01,97114,14044919,13.88,255.85,33012851,4350,448.87,LINCOLN AVE,E 138TH ST,WILLIS AVE,E 135TH ST,BRONX,1,15,29,84,8,1966-02-28,,PARTIALLY,,
MONROE,NY005000880,88,88,234,234,NY005036,FEDERAL,CONVENTIONAL,New Construction,,1101,1102,5302.5,4.82,,2700,12,1,20,8-14,805341,18.49,805341,18.49,118402,10177348,14.7,146.02,16449659,3100,466.22,SOUNDVIEW AVE,STORY AVE,TAYLOR AVE,LAFAYETTE AVE,BRONX,9,15,32,85,18,1961-11-02,,,,
MOORE,NY005010930,129,93,251,251,NY005080,FEDERAL,CONVENTIONAL,New Construction,,463,463,2165.5,4.68,,1130,2,,4,20,117000,2.69,117000,2.69,21826,4029275,18.65,420.07,7256661,3350,462.55,E 147TH ST,E 149TH ST,JACKSON AVE,TRINITY AVE,BRONX,1,15,29,84,8,1964-03-31,,,,
MORRIS I,NY005011020,102,102,239,239,NY005037,FEDERAL,CONVENTIONAL,New Construction,,1083,1085,5237.5,4.84,,2888,10,,10,16-20,416831,9.57,416831,9.57,66594,9980542,15.98,301.78,20735295,4008,460.95,PARK AVE,E 170TH ST,THIRD AVE,E 169TH ST,BRONX,3,15,33,79,16,1965-08-31,,,,
MORRIS II,NY005011020,502,102,280,239,NY005079,FEDERAL,CONVENTIONAL,New Construction,,801,802,3758.5,4.69,,2039,7,,7,16-20,358843,8.24,313704,7.2,51875,7162265,14.46,247.45,15391181,4008,482.79,PARK AVE,E 171ST ST,THIRD AVE,E 170TH ST,BRONX,3,15,33,79,16,1965-08-31,,,,
MORRIS PARK SENIOR CITIZENS HOME,NY005012410,277,241,504,346,NY005200,FEDERAL,CONVENTIONAL,Rehabilitation (ELD),,97,97,296.5,3.06,,98,1,,1,9,10000,0.23,10000,0.23,6491,561310,64.91,426.09,1989852,6337,296.95,E 124TH ST,MADISON AVE,FIFTH AVE,,MANHATTAN,11,13,30,68,9,1977-04-30,,EXCLUSIVELY,True,
MORRISANIA,NY005011410,130,141,250,231,NY005048,FEDERAL,CONVENTIONAL,New Construction,,206,206,962,4.67,,516,2,,2,16,60890,1.4,60890,1.4,13024,1769693,21.39,368.57,3742711,3891,372.53,E 169TH ST,WASHINGTON AVE,PARK AVE,,BRONX,3,15,32,79,16,1963-05-31,,,,
MORRISANIA AIR RIGHTS,NY005012670,267,267,385,385,NY005190,FEDERAL,TURNKEY,New Construction,,842,843,3792,4.5,,1803,3,,5,19-23-29,274300,6.3,274300,6.3,64435,11316800,23.49,286.19,40272504,10584,457.76,PARK AVE,E 158TH ST,E 161ST ST,E 163RD ST,BRONX,"3, 4",15,32,79,"16, 17",1981-01-01,,PARTIALLY,,
MOTT HAVEN,NY005001210,121,121,244,244,NY005044,FEDERAL,CONVENTIONAL,New Construction,,992,993,4634,4.67,,2585,8,1,9,20-22,417367,9.58,386817,8.88,78477,9236613,18.8,269.83,20670000,4456,477.47,E 140TH ST,E 144TH ST,ALEXANDER AVE,WILLIS AVE,BRONX,1,15,29,84,8,1965-03-31,,,,
MURPHY,NY005021330,133,133,447,447,NY005381,MIXED FINANCE/LLC2,CONVENTIONAL,New Construction,106,281,281,1294.5,4.61,258,710,2,,2,20,114593,2.63,114593,2.63,20188,2548312,17.62,269.96,5539000,4277,438.41,CROTONA AVE,CROTONA PARK NO,CROSS BRONX EXPWY,,BRONX,6,15,33,79,15,1964-03-31,,,,
NEW LANE AREA,NY005010350,314,35,306,306,NY005242,FEDERAL,TURNKEY,New Construction (ELD),,276,277,996,3.61,,339,1,,2,10,120879,2.78,120879,2.78,29107,2204124,24.08,121.94,18511313,18493,311.47,LINDEN PL,NEW LANE,WATER FRONT TRACT,,STATEN ISLAND,1,11,23,64,49,1984-07-12,,EXCLUSIVELY,True,
NOSTRAND,NY005010360,43,36,585,585,NY005268C,FEDERAL,CONVENTIONAL,New Construction,,1147,1148,4970.5,4.33,,2363,16,1,33,6,1036600,23.8,1036600,23.8,177223,9377365,17.1,99.29,13817794,2779,465.08,AVENUE V,BRAGG ST,AVENUE X,BATCHELDER ST,BROOKLYN,15,9,19,41,46,1950-12-14,1980/07/01-ATP 6,,,
OCEAN BAY APARTMENTS (BAYSIDE),NY005010980,98,98,571,571,NY005244D,FEDERAL,CONVENTIONAL,New Construction,,1393,1395,6670.5,4.79,,3729,24,,28,7-9,1408080,32.33,1408080,32.33,215090,13059717,15.28,115.34,22956000,3446,503.31,B 58TH ST,ALAMEDA AVE,B 51ST ST,BEACH CHANNEL DR,QUEENS,14,5,10,31,31,1961-09-25,1979/08/01-ATP 4,,,
OCEAN BAY APARTMENTS (OCEANSIDE),NY005010980,51,98,573,571,NY005244F,FEDERAL,CONVENTIONAL,New Construction,,417,418,1766.5,4.24,,798,7,,14,6,354220,8.13,310500,7.13,66101,3931321,18.66,98.15,5137275,2901,535.94,ARVERNE BLVD,B 56TH ST,BEACH CHANNEL DR,B 54TH ST,QUEENS,14,5,10,31,31,1951-02-28,1979/08/01-ATP 4,,,
OCEAN HILL APARTMENTS,NY005011620,162,162,269,269,NY005072,FEDERAL,CONVENTIONAL,New Construction,,238,238,1077,4.53,,645,3,1,4,14,112916,2.59,112916,2.59,16412,2178743,14.53,249.03,4875929,4527,588.26,BROADWAY,MACDOUGAL ST,MOTHER GASTON BLVD,CHERRY ST,BROOKLYN,16,8,18,55,37,1968-03-31,,,,
OCEAN HILL-BROWNSVILLE,NY005013510,313,351,287,765,NY005257,FEDERAL,TURNKEY,Rehabilitation,,125,125,540.5,4.32,,303,5,,5,4,242141,5.56,242141,5.56,78188,2000000,32.29,54.5,8068686,14942,457.85,RALPH AVE,ATLANTIC AVE,SARATOGA AVE,DEAN ST,BROOKLYN,16,8,25,55,41,1986-11-10,,,True,
O'DWYER GARDENS,NY005011720,172,172,582,582,NY005267D,FEDERAL,CONVENTIONAL,New Construction,,572,573,2212,3.87,,984,6,1,7,15-16,276010,6.34,276010,6.34,34501,5421328,12.5,155.21,15000000,6649,476.18,W 32ND ST,SURF AVE,W 35TH ST,MERMAID AVE,BROOKLYN,13,8,23,46,47,1969-12-31,1980/07/01-ATP 5,,,
PALMETTO GARDENS,NY005012470,195,247,393,393,NY005196,FEDERAL,TURNKEY,New Construction (ELD),,115,115,345.5,3,,117,1,,1,6,27419,0.63,27419,0.63,12739,750300,46.46,185.71,4584000,12257,312.88,PALMETTO ST,GATES AVE,EVERGREEN AVE,BUSHWICK AVE,BROOKLYN,4,8,18,54,34,1977-03-31,,EXCLUSIVELY,,
"PARK AVENUE-EAST 122ND, 123RD STREETS",NY005012410,204,241,321,346,NY005127,FEDERAL,TURNKEY,New Construction,,90,90,419,4.66,,213,2,1,2,6,32127,0.74,32127,0.74,14614,950094,45.49,287.84,2101938,5017,495.32,E 122ND ST,PARK AVE,E 123RD ST,LEXINGTON AVE,MANHATTAN,11,13,30,68,9,1970-03-31,,,,
PARK ROCK REHAB,NY005013510,351,351,765,765,NY005285,FEDERAL,TURNKEY,Rehabilitation,,134,134,582,4.34,,330,9,,9,4,53914,1.24,53914,1.24,33105,166531,61.4,266.13,10500000,18041,558.22,BELMONT AVE,JEROME ST,SUTTER AVE,BARBEY ST,BROOKLYN,8,9,"20, 25",55,36,1986-09-01,,,True,
PARKSIDE,NY005010470,47,47,580,580,NY005267B,FEDERAL,CONVENTIONAL,New Construction,,878,879,3709,4.22,,1731,14,,20,6-7-14-15,485455,11.14,453178,10.4,96415,7454500,19.86,155.39,9676316,2606,462.37,ADEE AVE,WHITE PLAINS RD,ARNOW AVE,BRONX PARK EAST,BRONX,11,14,36,80,15,1951-06-12,1980/07/01-ATP 5,,,
PATTERSON,NY005000240,24,24,522,522,NY005216A,FEDERAL,CONVENTIONAL,New Construction,,1790,1791,8514,4.76,,4362,15,,25,7-13,748573,17.18,702358,16.12,167841,14503544,22.42,253.9,20731000,2433,461.95,MORRIS AVE,THIRD AVE,E 145TH ST,E 139TH ST,BRONX,1,15,29,84,8,1950-12-31,1978/02/01-ATP 2,,,
PELHAM PARKWAY,NY005010390,39,39,586,586,NY005271A,FEDERAL,CONVENTIONAL,New Construction,,1265,1266,5446.5,4.31,,2579,23,,38,6,1034160,23.74,967252,22.21,184875,10665277,17.88,108.64,15295753,2806,518.78,PELHAM PKWY,WALLACE AVE,WILLIAMSBRIDGE RD,MACE AVE,BRONX,11,14,34,80,13,1950-06-30,1980/10/01-ATP 7,,,
PENNSYLVANIA AVENUE-WORTMAN AVENUE,NY005011940,194,194,305,305,NY005091,FEDERAL,CONVENTIONAL,New Construction,,336,336,1343,4,,668,3,1,3,8-16,236930,5.44,236930,5.44,40998,2712190,17.3,122.79,11936021,8606,420.81,PENNSYLVANIA AVE,WORTMAN AVE,STANLEY AVE,VERMONT ST,BROOKLYN,5,8,19,60,42,1972-09-30,,,,
PINK,NY005000890,89,89,235,235,NY005035,FEDERAL,CONVENTIONAL,New Construction,,1500,1500,7098,4.73,,3724,22,2,25,8,1354844,31.1,1311306,30.1,193511,13316063,14.28,119.74,20134047,2835,481.3,CRESCENT ST,LINDEN BLVD,ELDERTS LA,STANLEY AVE,BROOKLYN,5,8,19,60,42,1959-09-30,,,,
POLO GROUNDS TOWERS,NY005001490,149,149,260,260,NY005062,FEDERAL,CONVENTIONAL,New Construction,,1614,1614,7682,4.76,,3938,4,4,11,30,659780,15.15,659780,15.15,83689,14904498,12.68,259.93,32292784,4190,502.77,DOUGLASS BLVD,W 155TH ST,HARLEM RIVER DR,,MANHATTAN,10,13,30,71,9,1968-06-30,,,,
POMONOK,NY005000530,53,53,588,588,NY005271C,FEDERAL,CONVENTIONAL,New Construction,,2069,2071,8838.5,4.27,,4286,35,,121,3-7,2238984,51.4,2083475,47.83,369627,19315843,16.51,83.39,21645342,2446,516.1,71ST AVE,PARSONS BLVD,KISSENA BLVD,65TH AVE,QUEENS,8,6,16,27,24,1952-06-30,1980/10/01-ATP 7,,,
PSS GRANDPARENT FAMILY APARTMENTS,NY005005600,560,560,,,NY005387,MIXED FINANCE,TURNKEY,New Construction,,50,51,235,4.7,,,1,,1,6,25595,0.59,25595,0.59,,,,,12020098,51149,,PROSPECT AVENUE,UNION AVENUE,EAST 163RD STREET,,BRONX,3,15,32,79,17,2005-05-24,,,,True
PUBLIC SCHOOL 139 (CONVERSION),NY005011110,340,111,774,774,NY005260,FEDERAL,TURNKEY,Rehabilitation (ELD),,125,125,423.5,3.39,,129,1,,2,5,64945,1.49,64945,1.49,26325,2943660,40.53,86.58,7898759,18348,348.2,"W 139,140TH STS",POWELL BLVD,LENOX AVE,,MANHATTAN,10,13,30,70,9,1986-10-08,,EXCLUSIVELY,True,
QUEENSBRIDGE NORTH,NY005005050,505,505,398,398,NY005002,FEDERAL,CONVENTIONAL,New Construction,,1540,1543,6328,4.11,,3228,13,1,48,6,886643,20.35,689843,15.84,191356,11314111,21.58,158.62,6466805,1010,494.93,41ST AVE,VERNON BLVD,40TH AVE,21ST ST,QUEENS,1,12,12,37,26,1940-03-15,,,,
